a_pinene,b_pinene,myrcene,a_phella,d_carene,ocimene,g_terpinene,terpinolene,linalool,b_phella_limonene,b_fenchol,c_sabinene,camphor,borneol,a_terpineol,c_bergam,d_guaiene,BCP,a_humulene,g_cadinene,eudesma,tr_BCP,a_guaiene,g_selinene,a_gurjunen,BCP_oxide,t_bergam,tb_farnesene,aromadendrene,g_elemene,guaiol,g_eudesmol,b_eudesmol,a_bisabolol,thc_total,CBG,CBC,THCV,CBD,CBGM
1,1,6.04494890055878e-07,1,1,1,1,1,1,0.0693028105664099,1,1,1,1,1,1,1,1,1,1,1,1,0.122655526435058,1,1,1,6.18726189993411e-07,1,0,1.07433163342165e-06,0.463489038838259,1,0.143701120821901,1,0.179492605173316,1,1,1,1,1
1,1,5.97399051371891e-10,1,1,1,1,1,0.668012057881865,1.27459987628078e-12,0.000207285014749851,0.412176834865363,1,1,1,1,1,0.000512067331742185,0.00364940924242984,0.0517382330749625,0.000196581733563023,1,3.3723763671784e-05,1,1,1,0.00194972640977967,1,1.07433163342165e-06,0,2.96478839376604e-05,4.36604643242441e-10,0.337114922073281,0.307042962096846,1.57351187981335e-09,1,1,1,1,0.095669612372805
1,1,0.0338802841672483,1,1,1,1,1,1,0.574368791784514,1,1,1,1,1,1,1,1,1,1,1,1,0.000564810567658355,0.0563220145552814,1,1,1,2.60836416334436e-05,0.463489038838259,2.96478839376604e-05,0,7.35825524002289e-141,7.79925225346651e-77,0.00012683157541876,1,1,1,1,1,1
1,1,0.0431840277977141,1,1,1,1,1,0.347588283470311,0.000489848712744201,0.00313366229989372,1,1,1,1,1,1,1,1,1,0.00133425412669214,1,1,1,1,1,1,0.00132079602607976,1,4.36604643242441e-10,7.35825524002289e-141,0,8.23860404316618e-75,4.0824977407335e-07,0.0115020721665406,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0.47171779865517,0.0320563612250376,1,1,1,1,1,1,1,1,1,0.82406129068564,1,1,1,1,1,1,0.0169691802432505,0.143701120821901,0.337114922073281,7.79925225346651e-77,8.23860404316618e-75,0,6.3546171759624e-06,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,3.81244191876656e-06,1,1,1,1,1,1,0.0282543567663375,1,1,4.97028714963406e-10,1,1,1,1,1,1,0.469683855028468,1,0.307042962096846,0.00012683157541876,4.0824977407335e-07,6.3546171759624e-06,0,1,1,1,1,1,1
1,0.0293452455528953,0.00297342139061346,7.2423065410214e-08,1,1,3.19078892369118e-09,1.81540834993203e-05,4.44184619406494e-11,8.12632316236729e-09,0.00130531516668981,1.13212791905861e-06,1,1,0.00342650494855956,1,1,2.24420373764638e-07,8.24328922510799e-11,1.48576123347797e-13,1.73547313004067e-16,0.000210532394829458,0.00723656412867115,1,1,1,1,1,0.179492605173316,1.57351187981335e-09,1,0.0115020721665406,1,1,0,2.2969999551786e-24,1,1,0.0913935549252519,1
1,1,1,1.11660082289542e-08,1,0.00165762568177029,1.85591966744043e-06,2.76267795973841e-14,1,1,1,1,1,1,1,1,1,1.45383561942683e-05,3.08504629119333e-07,9.04890642892256e-11,6.89044218710314e-12,0.000112792701871418,1,1,1,1,1,1,1,1,1,1,1,1,2.2969999551786e-24,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0.161536430946359,1,1,1,1,0.103004249211927,0.705124280962067,1,1,1,1,0.410331984620176,1,1,1,1,1,1,1,1,1,1,1,1,0,1,8.67607032904345e-21,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1.52551791022285e-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0913935549252519,1,8.67607032904345e-21,1,0,0.00248243987786293
1,1,1,1,1,1,1,1,1,1,1,1,0.189398335624331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.095669612372805,1,1,1,1,1,1,1,1,0.00248243987786293,0
